Customer Utterance,Previous Applied Alternative Utterance,Alternative Utterance History Published Time
turn off the light,None,2023-04-15
turn on the light,None,2023-04-15
simon says baba booey,None,2023-04-15
what time is it,None,2023-04-15
what's the temperature,None,2023-04-15
turn off the lights,None,2023-04-15
shut up,None,2023-04-15
what is the weather today in burlington vermont,None,2023-04-15
what is the temperature today,None,2023-04-15
good morning,None,2023-04-15
what's the weather like,None,2023-04-15
what's the precipitation tomorrow,None,2023-04-15
what's the weather gonna be like tomorrow,None,2023-04-15
turn off,None,2023-04-15
no,None,2023-04-15
what's the temperature outside,None,2023-04-15
stop,None,2023-04-15
turn on the lights,None,2023-04-15
simon says baba boo,None,2023-04-15
turn on my light,None,2023-04-15
turn off the lamp,None,2023-04-15
simon says bumblebee,None,2023-04-15
shut the lights off,None,2023-04-15
what's the weather like tomorrow,None,2023-04-15
turn on the light,None,2022-06-02
good night,None,2023-01-26
goodnight,None,2022-02-23
good night,None,2022-02-23
